,PTS_A,PTS_CON_A,FG_PCT_A,FG3_PCT_A,FT_PCT_A,REB_A,TOV_A,BLK_A,SEASON_A_PCT,H/A_A,ELO_A,STREAK_A,PTS_B,PTS_CON_B,FG_PCT_B,FG3_PCT_B,FT_PCT_B,REB_B,TOV_B,BLK_B,SEASON_B_PCT,H/A_B,ELO_B,STREAK_B,WINNER
54,96.75,110.25,0.434,0.33425000000000005,0.71775,40.0,14.75,6.25,0.25,0.0,1462.3342782902791,-2,110.25,98.75,0.46299999999999997,0.4065,0.831,52.25,15.75,5.75,0.75,1.0,1532.5906526979538,-1,A
55,105.0,109.0,0.44060000000000005,0.32199999999999995,0.8210000000000001,46.2,16.8,3.8,0.4,0.6666666666666666,1489.0586201106019,1,102.75,96.0,0.432,0.32125000000000004,0.7789999999999999,45.5,10.5,7.0,0.75,1.0,1522.31476293466,1,B
56,95.6,92.4,0.4506,0.38099999999999995,0.7757999999999999,40.2,13.8,5.0,0.6,1.0,1516.8731289078783,2,105.2,95.6,0.4486,0.42119999999999996,0.8615999999999999,44.6,11.8,5.6,0.8,1.0,1533.922270677079,-1,B
57,98.0,106.5,0.418,0.31875,0.80125,40.5,12.75,4.25,0.0,0.0,1464.7935074864065,-4,110.6,115.2,0.45680000000000004,0.3884,0.8262,42.4,15.2,5.4,0.4,0.5,1480.4005016402627,-2,B
58,101.5,98.75,0.4375,0.365,0.67275,46.25,15.25,6.5,0.5,1.0,1508.5257507238744,1,104.5,97.5,0.47250000000000003,0.26675000000000004,0.803,44.0,12.75,3.5,0.75,0.6666666666666666,1524.1718190787556,2,B
59,101.66666666666667,113.0,0.4836666666666667,0.26666666666666666,0.7563333333333334,38.666666666666664,18.0,4.333333333333333,0.0,0.0,1468.2020997759505,-3,110.0,97.25,0.4735,0.35575,0.7100000000000001,44.75,16.0,5.25,0.75,1.0,1534.1228617272664,-1,A
60,97.4,102.2,0.40679999999999994,0.35300000000000004,0.7504,43.2,16.0,4.8,0.6,1.0,1487.020575568829,1,100.25,91.0,0.427,0.29775,0.65725,45.5,14.0,4.25,0.75,1.0,1528.8189833325487,-1,B
61,98.2,106.6,0.4128,0.24739999999999998,0.76,42.4,14.2,5.8,0.0,0.0,1456.837558739348,-5,104.0,112.6,0.434,0.28459999999999996,0.7236,47.6,15.6,3.4,0.2,0.0,1465.1985206220947,1,B
62,114.4,104.0,0.46240000000000003,0.39099999999999996,0.7802,43.8,12.2,4.4,1.0,1.0,1548.1828199578258,5,90.75,104.75,0.417,0.334,0.7675,40.25,17.25,6.25,0.0,0.0,1454.2598258760822,-4,A
63,100.0,90.4,0.4168,0.2974,0.6894,45.8,13.6,4.6,0.8,1.0,1538.1983413724026,1,104.33333333333333,94.0,0.44816666666666666,0.40099999999999997,0.8694999999999999,45.333333333333336,11.666666666666666,6.0,0.8333333333333334,0.5,1545.9887429599798,1,A
