,TEAM_ABBV,TEAM_ID,DATE,PTS_A,PTS_CON_A,FG_PCT_A,FG3_PCT_A,FT_PCT_A,REB_A,TOV_A,BLK_A,SEASON_A_PCT,H/A_A,ELO_A,ELO_OPP,STREAK_A,PER_A,WINNER
374,UTA,1610612762,2017-12-30,104,101,0.463,0.323,0.857,43,11,4,0.4166666666666667,0.7,1479.5334176937083,1567.3903557434362,-3,14.708024899210233,1
375,CLE,1610612739,2017-12-30,101,104,0.42,0.3,0.808,46,15,5,0.6857142857142857,0.6,1567.3903557434362,1479.5334176937083,-2,19.778134494580446,0
376,PHI,1610612755,2017-12-31,123,110,0.558,0.417,0.794,44,21,7,0.45714285714285713,0.4,1482.3638984220177,1412.2024091328856,1,16.771825478866077,1
377,PHX,1610612756,2017-12-31,110,123,0.42,0.37,0.765,35,16,4,0.3783783783783784,0.3,1412.2024091328856,1482.3638984220177,2,14.014362179511357,0
378,BKN,1610612751,2017-12-31,105,108,0.411,0.306,0.842,45,11,4,0.37142857142857144,0.4,1462.6578688811273,1580.8652513331938,1,15.679346405099349,0
379,BOS,1610612738,2017-12-31,108,105,0.494,0.424,0.64,50,17,8,0.7435897435897436,0.7,1580.8652513331938,1462.6578688811273,2,16.307485476215994,1
380,LAC,1610612746,2017-12-31,106,98,0.474,0.357,0.889,42,17,5,0.4411764705882353,0.5,1480.8196846816793,1476.0405715429995,2,16.08744266751254,1
381,CHA,1610612766,2017-12-31,98,106,0.387,0.333,0.789,47,17,3,0.37142857142857144,0.2,1476.0405715429995,1480.8196846816793,1,17.95098978537982,0
382,LAL,1610612747,2017-12-31,142,148,0.505,0.4,0.703,54,16,4,0.3235294117647059,0.4,1419.0877926489466,1612.6723470483657,-5,13.08449266320071,0
383,HOU,1610612745,2017-12-31,148,142,0.462,0.346,0.821,43,12,9,0.7352941176470589,0.8,1612.6723470483657,1419.0877926489466,-5,19.222680564013018,1
384,MIN,1610612750,2017-12-31,107,90,0.477,0.211,0.84,44,8,8,0.6111111111111112,0.6,1539.855379115776,1502.5479746556132,-1,20.396712248216712,1
385,IND,1610612754,2017-12-31,90,107,0.388,0.4,0.778,43,17,5,0.5277777777777778,0.6,1502.5479746556132,1539.855379115776,-3,12.25948577757717,0
386,OKC,1610612760,2017-12-31,113,116,0.483,0.313,0.739,45,11,4,0.5555555555555556,0.8,1564.9966086472007,1481.5053308929541,-1,20.071755898100754,0
387,DAL,1610612742,2017-12-31,116,113,0.517,0.441,0.643,36,8,5,0.32432432432432434,0.2,1481.5053308929541,1564.9966086472007,3,16.715026499919333,1
388,ORL,1610612753,2018-01-01,95,98,0.365,0.194,0.76,52,12,5,0.32432432432432434,0.1,1375.7146759184425,1459.2239254349902,-1,16.95364316605355,0
389,BKN,1610612751,2018-01-01,98,95,0.439,0.36,0.739,52,13,10,0.3611111111111111,0.3,1459.2239254349902,1375.7146759184425,-1,16.401643711990488,1
390,LAL,1610612747,2018-01-01,96,114,0.447,0.308,0.69,37,24,4,0.3142857142857143,0.3,1415.779298560259,1552.5569443272816,-6,12.30829109137621,0
391,MIN,1610612750,2018-01-01,114,96,0.494,0.35,0.9,41,17,5,0.6216216216216216,0.6,1552.5569443272816,1415.779298560259,1,19.956479043801497,1
392,SAS,1610612759,2018-01-02,100,91,0.378,0.37,0.824,50,8,5,0.6756756756756757,0.5,1560.6497421275585,1488.8005433119768,-1,17.45793965531713,1
393,NYK,1610612752,2018-01-02,91,100,0.402,0.318,0.778,50,14,7,0.5,0.7,1488.8005433119768,1560.6497421275585,1,15.554382947918791,0
394,MEM,1610612763,2018-01-02,105,113,0.481,0.308,0.636,38,14,2,0.32432432432432434,0.2,1420.780865053428,1489.7400089118096,1,15.749566071799883,0
395,LAC,1610612746,2018-01-02,113,105,0.549,0.391,0.839,34,19,3,0.45714285714285713,0.6,1489.7400089118096,1420.780865053428,3,17.915293170855975,1
396,CHI,1610612741,2018-01-03,115,124,0.462,0.394,0.842,43,13,2,0.35135135135135137,0.7,1458.0714303225768,1614.3900163734263,-2,18.36158222389556,0
397,TOR,1610612761,2018-01-03,124,115,0.489,0.395,1.0,49,11,5,0.7142857142857143,0.6,1614.3900163734263,1458.0714303225768,2,21.492725614198118,1
