,TEAM_ABBV,TEAM_ID,DATE,PTS_A,PTS_CON_A,FG_PCT_A,FG3_PCT_A,FT_PCT_A,REB_A,TOV_A,BLK_A,SEASON_A_PCT,H/A_A,ELO_A,ELO_OPP,STREAK_A,PER_A,ODDS_A,ODDS_OPP,WINNER
90,ATL,1610612737,2021-01-27,128,132,0.479,0.394,0.893,37,11,7,0.5294117647058824,0.625,1523.5853126086147,1535.7497711347823,1,18.01381123501757,2.91,1.45,0
91,BKN,1610612751,2021-01-27,132,128,0.531,0.344,0.85,36,11,10,0.5789473684210527,0.3333333333333333,1535.7497711347823,1523.5853126086147,2,22.85799657698786,1.45,2.91,1
92,HOU,1610612745,2021-01-28,104,101,0.422,0.277,0.833,47,14,7,0.4375,0.5,1508.836540833463,1489.8934239939258,3,18.257847647346402,1.54,2.59,1
93,POR,1610612757,2021-01-28,101,104,0.419,0.415,0.75,49,15,7,0.5625,0.6666666666666666,1489.8934239939258,1508.836540833463,-1,19.4512675146943,2.59,1.54,0
94,CLE,1610612739,2021-01-29,81,102,0.345,0.308,0.833,43,14,5,0.5,0.375,1474.9709548329913,1477.1560057885345,1,16.792972124590182,2.04,1.83,0
95,NYK,1610612752,2021-01-29,102,81,0.488,0.37,0.875,41,14,6,0.42105263157894735,0.42857142857142855,1477.1560057885345,1474.9709548329913,-3,16.418017841827076,1.83,2.04,1
96,UTA,1610612762,2021-01-29,120,101,0.437,0.417,0.923,56,15,5,0.7777777777777778,0.7777777777777778,1602.3089550480956,1479.6999055272772,10,20.293177725858676,1.6,2.46,1
97,DAL,1610612742,2021-01-29,101,120,0.43,0.273,0.667,40,11,4,0.4444444444444444,0.6,1479.6999055272772,1602.3089550480956,-3,19.4521709341538,2.46,1.6,0
98,IND,1610612754,2021-01-29,105,108,0.483,0.314,0.769,39,16,4,0.6111111111111112,0.7142857142857143,1531.9061569116593,1466.5896333362243,2,20.496580811211267,1.61,2.43,0
99,CHA,1610612766,2021-01-29,108,105,0.506,0.432,0.667,42,17,5,0.3888888888888889,0.375,1466.5896333362243,1531.9061569116593,-2,19.369170653411505,2.43,1.61,1
100,TOR,1610612761,2021-01-29,124,126,0.488,0.406,0.818,35,15,2,0.3888888888888889,0.5555555555555556,1498.8075856562161,1436.2719207027517,-2,13.333626101864693,1.56,2.55,0
101,SAC,1610612758,2021-01-29,126,124,0.551,0.444,0.774,38,22,5,0.4117647058823529,0.3333333333333333,1436.2719207027517,1498.8075856562161,2,19.55081946158598,2.55,1.56,1
102,OKC,1610612760,2021-01-29,125,147,0.465,0.421,0.853,36,12,4,0.47058823529411764,0.16666666666666666,1460.5706595321594,1541.7939808760796,2,14.843373235839254,3.27,1.37,0
103,BKN,1610612751,2021-01-29,147,125,0.57,0.422,0.875,50,11,4,0.6,0.42857142857142855,1541.7939808760796,1460.5706595321594,3,19.142227002621922,1.37,3.27,1
