,TEAM_ABBV,TEAM_ID,DATE,PTS_A,PTS_CON_A,FG_PCT_A,FG3_PCT_A,FT_PCT_A,REB_A,TOV_A,BLK_A,SEASON_A_PCT,H/A_A,ELO_A,ELO_OPP,PER_A,WINNER
14735,TOR,1610612761,2015-03-02,114,103,0.513,0.407,0.875,36,11,6,0.6271186440677966,0.5,1554.4483852779597,1302.2079042472792,13.152367784370117,1
14736,GSW,1610612744,2015-03-02,108,110,0.467,0.367,0.722,50,15,7,0.8070175438596491,0.7,1711.1687223369263,1456.7779835389272,17.947069719564873,0
14737,BKN,1610612751,2015-03-02,110,108,0.494,0.476,0.75,38,13,1,0.42105263157894735,0.3,1456.7779835389272,1711.1687223369263,14.63270084086865,1
14738,MIA,1610612748,2015-03-02,115,98,0.524,0.5,0.733,45,16,4,0.43103448275862066,0.4,1441.9352045928736,1515.0971675443332,14.64944267653962,1
14739,PHX,1610612756,2015-03-02,98,115,0.423,0.226,0.658,43,19,2,0.5166666666666667,0.3,1515.0971675443332,1441.9352045928736,14.009758366896978,0
14740,NOP,1610612740,2015-03-02,93,102,0.473,0.476,0.813,37,13,4,0.5423728813559322,0.6,1507.069572559085,1582.0741437706558,13.755804817011153,0
14741,DAL,1610612742,2015-03-02,102,93,0.481,0.375,0.909,38,7,6,0.639344262295082,0.6,1582.0741437706558,1507.069572559085,14.726089973424227,1
14742,LAC,1610612746,2015-03-02,110,105,0.478,0.364,0.526,43,12,3,0.65,0.4,1650.5733816760728,1373.0095468154266,10.864788031526984,1
14743,MIN,1610612750,2015-03-02,105,110,0.439,0.267,0.829,47,12,4,0.22413793103448276,0.5,1373.0095468154266,1650.5733816760728,13.258917573031548,0
14744,CHI,1610612741,2015-03-03,97,92,0.423,0.31,0.733,47,16,7,0.6166666666666667,0.6,1566.9237078811252,1463.9553667830448,13.983830769065225,1
14745,WAS,1610612764,2015-03-03,92,97,0.417,0.364,0.737,39,11,11,0.5666666666666667,0.2,1463.9553667830448,1566.9237078811252,13.131719816397176,0
14746,NYK,1610612752,2015-03-03,86,124,0.366,0.182,0.733,38,15,9,0.20689655172413793,0.5,1324.0672184945986,1402.038331971456,13.710653973961747,0
14747,SAC,1610612758,2015-03-03,124,86,0.494,0.556,0.865,46,14,2,0.3508771929824561,0.1,1402.038331971456,1324.0672184945986,11.931695792797692,1
14748,CLE,1610612739,2015-03-03,110,79,0.483,0.357,1.0,52,11,6,0.6065573770491803,1.0,1601.4716788045564,1435.1219423342268,18.274555110629038,1
